Time,Port,Metric,Value
2026-05-04 16:55:01.000,0,oerrors,0
2026-05-04 16:55:01.000,0,ibytes,930
2026-05-04 16:55:01.000,0,ierrors,0
2026-05-04 16:55:01.000,0,rx_nombuf,0
2026-05-04 16:55:01.000,0,imissed,0
2026-05-04 16:55:01.000,0,obytes,0
2026-05-04 16:55:01.000,0,opackets,0
2026-05-04 16:55:01.000,0,ipackets,5
2026-05-04 16:55:02.000,0,oerrors,0
2026-05-04 16:55:02.000,0,ibytes,42522806
2026-05-04 16:55:02.000,0,ierrors,0
2026-05-04 16:55:02.000,0,rx_nombuf,0
2026-05-04 16:55:02.000,0,imissed,0
2026-05-04 16:55:02.000,0,obytes,0
2026-05-04 16:55:02.000,0,opackets,0
2026-05-04 16:55:02.000,0,ipackets,708704
2026-05-04 16:55:03.000,0,oerrors,0
2026-05-04 16:55:03.000,0,ibytes,114980902
2026-05-04 16:55:03.000,0,ierrors,0
2026-05-04 16:55:03.000,0,rx_nombuf,0
2026-05-04 16:55:03.000,0,imissed,0
2026-05-04 16:55:03.000,0,obytes,0
2026-05-04 16:55:03.000,0,opackets,0
2026-05-04 16:55:03.000,0,ipackets,1916340
2026-05-04 16:55:04.000,0,oerrors,0
2026-05-04 16:55:04.000,0,ibytes,187442966
2026-05-04 16:55:04.000,0,ierrors,0
2026-05-04 16:55:04.000,0,rx_nombuf,0
2026-05-04 16:55:04.000,0,imissed,0
2026-05-04 16:55:04.000,0,obytes,0
2026-05-04 16:55:04.000,0,opackets,0
2026-05-04 16:55:04.000,0,ipackets,3124040
2026-05-04 16:55:05.000,0,oerrors,0
2026-05-04 16:55:05.000,0,ibytes,259634550
2026-05-04 16:55:05.000,0,ierrors,0
2026-05-04 16:55:05.000,0,rx_nombuf,0
2026-05-04 16:55:05.000,0,imissed,0
2026-05-04 16:55:05.000,0,obytes,0
2026-05-04 16:55:05.000,0,opackets,0
2026-05-04 16:55:05.000,0,ipackets,4327232
2026-05-04 16:55:06.000,0,oerrors,0
2026-05-04 16:55:06.000,0,ibytes,331870230
2026-05-04 16:55:06.000,0,ierrors,0
2026-05-04 16:55:06.000,0,rx_nombuf,0
2026-05-04 16:55:06.000,0,imissed,0
2026-05-04 16:55:06.000,0,obytes,0
2026-05-04 16:55:06.000,0,opackets,0
2026-05-04 16:55:06.000,0,ipackets,5531160
2026-05-04 16:55:07.000,0,oerrors,0
2026-05-04 16:55:07.000,0,ibytes,404197942
2026-05-04 16:55:07.000,0,ierrors,0
2026-05-04 16:55:07.000,0,rx_nombuf,0
2026-05-04 16:55:07.000,0,imissed,0
2026-05-04 16:55:07.000,0,obytes,0
2026-05-04 16:55:07.000,0,opackets,0
2026-05-04 16:55:07.000,0,ipackets,6736624
2026-05-04 16:55:08.000,0,oerrors,0
2026-05-04 16:55:08.000,0,ibytes,476633430
2026-05-04 16:55:08.000,0,ierrors,0
2026-05-04 16:55:08.000,0,rx_nombuf,0
2026-05-04 16:55:08.000,0,imissed,0
2026-05-04 16:55:08.000,0,obytes,0
2026-05-04 16:55:08.000,0,opackets,0
2026-05-04 16:55:08.000,0,ipackets,7943880
2026-05-04 16:55:09.000,0,oerrors,0
2026-05-04 16:55:09.000,0,ibytes,549177750
2026-05-04 16:55:09.000,0,ierrors,0
2026-05-04 16:55:09.000,0,rx_nombuf,0
2026-05-04 16:55:09.000,0,imissed,0
2026-05-04 16:55:09.000,0,obytes,0
2026-05-04 16:55:09.000,0,opackets,0
2026-05-04 16:55:09.000,0,ipackets,9152952
2026-05-04 16:55:10.000,0,oerrors,0
2026-05-04 16:55:10.000,0,ibytes,621879318
2026-05-04 16:55:10.000,0,ierrors,0
2026-05-04 16:55:10.000,0,rx_nombuf,0
2026-05-04 16:55:10.000,0,imissed,0
2026-05-04 16:55:10.000,0,obytes,0
2026-05-04 16:55:10.000,0,opackets,0
2026-05-04 16:55:10.000,0,ipackets,10364648
2026-05-04 16:55:11.000,0,oerrors,0
2026-05-04 16:55:11.000,0,ibytes,694485142
2026-05-04 16:55:11.000,0,ierrors,0
2026-05-04 16:55:11.000,0,rx_nombuf,0
2026-05-04 16:55:11.000,0,imissed,0
2026-05-04 16:55:11.000,0,obytes,0
2026-05-04 16:55:11.000,0,opackets,0
2026-05-04 16:55:11.000,0,ipackets,11574744
2026-05-04 16:55:12.000,0,oerrors,0
2026-05-04 16:55:12.000,0,ibytes,766744470
2026-05-04 16:55:12.000,0,ierrors,0
2026-05-04 16:55:12.000,0,rx_nombuf,0
2026-05-04 16:55:12.000,0,imissed,0
2026-05-04 16:55:12.000,0,obytes,0
2026-05-04 16:55:12.000,0,opackets,0
2026-05-04 16:55:12.000,0,ipackets,12779064
